Model,AUC_ROC,Brier_score,Recall@25,%fallecidos_top25,Recall@50,%fallecidos_top50,Recall@100,%fallecidos_top100,Recall@200,%fallecidos_top200
baseline_hito2_replicated_60_20_20,0.8300971508518679,0.09853712791603439,0.11711711711711711,0.52,0.21621621621621623,0.48,0.42342342342342343,0.47,0.6666666666666666,0.37
logistic_regression,0.8732593260895147,0.0878823726062784,0.18018018018018017,0.8,0.3063063063063063,0.68,0.4774774774774775,0.53,0.7027027027027027,0.39
random_forest,0.8623282208187868,0.09020336292275836,0.16216216216216217,0.72,0.2882882882882883,0.64,0.46846846846846846,0.52,0.7027027027027027,0.39
