Model,Recall@25,Recall@50,Recall@100,Recall@200
baseline_hito2,0.1684,0.2421,0.4526,0.6421
logistic_regression,0.18018018018018017,0.3063063063063063,0.4774774774774775,0.7027027027027027
random_forest,0.16216216216216217,0.2882882882882883,0.46846846846846846,0.7027027027027027
baseline_hito2_replicated_60_20_20,0.11711711711711711,0.21621621621621623,0.42342342342342343,0.6666666666666666
