Metrica,Baseline_Hito2_historico,Baseline_Hito2_replicado_60_20_20,Mejor_modelo_Hito3,Ganancia_vs_historico,Ganancia_vs_replicado
AUC-ROC,0.7806,0.8300971508518679,0.8732593260895147,0.09265932608951477,0.04316217523764687
Brier,0.0887,0.0985371279160343,0.0878823726062784,0.0008176273937215983,0.010654755309755903
Recall@50,0.2421,0.2162162162162162,0.3063063063063063,0.06420630630630628,0.09009009009009009
%fallecidos_top50,0.46,0.48,0.68,0.22000000000000003,0.20000000000000007
