Model,AUC_ROC,Brier_score
baseline_hito2,0.7806,0.0887
logistic_regression,0.8732593260895147,0.0878823726062784
random_forest,0.8623282208187868,0.09020336292275836
baseline_hito2_replicated_60_20_20,0.8300971508518679,0.09853712791603439
